,index,country,response
47,2020-04-02,Brazil,1.3583086670732856
48,2020-04-03,Brazil,1.3598588454621634
49,2020-04-04,Brazil,1.3610423200465513
50,2020-04-05,Brazil,1.361417084840281
51,2020-04-06,Brazil,1.3613222304426529
52,2020-04-07,Brazil,1.3607917163143308
53,2020-04-08,Brazil,1.359813995503869
54,2020-04-09,Brazil,1.3584706787002605
55,2020-04-10,Brazil,1.3571477851429186
56,2020-04-11,Brazil,1.3557105816275983
57,2020-04-12,Brazil,1.353746622184564
58,2020-04-13,Brazil,1.3516191819221812
59,2020-04-14,Brazil,1.3493805543875648
60,2020-04-15,Brazil,1.3470313332458042
61,2020-04-16,Brazil,1.3446588733019538
62,2020-04-17,Brazil,1.3426484831805507
63,2020-04-18,Brazil,1.3408583521999566
64,2020-04-19,Brazil,1.3388628217955625
65,2020-04-20,Brazil,1.3370061892977065
66,2020-04-21,Brazil,1.3353165044035253
67,2020-04-22,Brazil,1.333765467031562
68,2020-04-23,Brazil,1.3324076066716288
69,2020-04-24,Brazil,1.331592278205477
70,2020-04-25,Brazil,1.3311394573993987
71,2020-04-26,Brazil,1.330583925571129
72,2020-04-27,Brazil,1.330230009384139
73,2020-04-28,Brazil,1.3300663137968591
74,2020-04-29,Brazil,1.3300265346327373
75,2020-04-30,Brazil,1.3301295092950736
76,2020-05-01,Brazil,1.3306920201742956
77,2020-05-02,Brazil,1.3195653442353303
78,2020-05-03,Brazil,1.308199976326324
79,2020-05-04,Brazil,1.2968809685878262
80,2020-05-05,Brazil,1.2855830220684439
81,2020-05-06,Brazil,1.2742315540670872
82,2020-05-07,Brazil,1.2628428656955095
83,2020-05-08,Brazil,1.251736922603229
84,2020-05-09,Brazil,1.2407137150652034
85,2020-05-10,Brazil,1.2292977753449774
86,2020-05-11,Brazil,1.2177930123484537
87,2020-05-12,Brazil,1.2061973014104703
88,2020-05-13,Brazil,1.1944629212020241
89,2020-05-14,Brazil,1.1826360073280329
90,2020-05-15,Brazil,1.1710685534127196
91,2020-05-16,Brazil,1.1595939451102621
92,2020-05-17,Brazil,1.1477706250859794
93,2020-05-18,Brazil,1.1359360695105316
94,2020-05-19,Brazil,1.1241205343252116
95,2020-05-20,Brazil,1.1123066830757766
96,2020-05-21,Brazil,1.1005682846129416
97,2020-05-22,Brazil,1.0892815286651496
98,2020-05-23,Brazil,1.0782999600124845
99,2020-05-24,Brazil,1.0671976423399383
100,2020-05-25,Brazil,1.0563227428059978
101,2020-05-26,Brazil,1.045711003326001
102,2020-05-27,Brazil,1.0353452152157745
103,2020-05-28,Brazil,1.0252938873815354
104,2020-05-29,Brazil,1.0159226549980156
105,2020-05-30,Brazil,1.0070694254682757
106,2020-05-31,Brazil,0.9982878660877614
107,2020-06-01,Brazil,0.9899014152878505
108,2020-06-02,Brazil,0.989101679771661
109,2020-06-03,Brazil,0.9886552823473438
110,2020-06-04,Brazil,0.9885964128651743
111,2020-06-05,Brazil,0.9892545361206011
112,2020-06-06,Brazil,0.990430275302201
113,2020-06-07,Brazil,0.9916396506263725
114,2020-06-08,Brazil,0.9931688380555688
115,2020-06-09,Brazil,0.9949888862270893
116,2020-06-10,Brazil,0.9970164793366969
117,2020-06-11,Brazil,0.9992539069450173
118,2020-06-12,Brazil,1.002001758814132
119,2020-06-13,Brazil,1.0050353137913879
120,2020-06-14,Brazil,1.0078492010735038
121,2020-06-15,Brazil,1.0107124918937265
122,2020-06-16,Brazil,1.0135836551605628
123,2020-06-17,Brazil,1.0163714624840803
124,2020-06-18,Brazil,1.0190750035146237
125,2020-06-19,Brazil,1.0219963318444552
126,2020-06-20,Brazil,1.0249167146862335
127,2020-06-21,Brazil,1.0273410707340052
128,2020-06-22,Brazil,1.0295527619790925
129,2020-06-23,Brazil,1.0315281821444175
130,2020-06-24,Brazil,1.0331972374364962
131,2020-06-25,Brazil,1.0345828916382285
132,2020-06-26,Brazil,1.0360133074235915
133,2020-06-27,Brazil,1.0372975689690627
134,2020-06-28,Brazil,1.0379695820646164
135,2020-06-29,Brazil,1.0383423289512046
136,2020-06-30,Brazil,1.038421931404435
137,2020-07-01,Brazil,1.0381676277931136
0,2020-02-15,Canada,0.5994380856929515
