country,index,EDI
Russia,2008-12-01,1.6707987737779524
Russia,2009-01-01,1.227045040888955
Russia,2009-02-01,1.0103180114833579
Russia,2009-03-01,1.251789322762341
Russia,2009-04-01,1.4848578402212278
Russia,2009-05-01,1.8331652038935626
Russia,2009-06-01,2.0315146432893503
Russia,2009-07-01,1.871494178190388
Russia,2009-08-01,2.09269086639417
Russia,2009-09-01,2.437892189120511
Russia,2009-10-01,3.0344066142999075
Russia,2009-11-01,3.0633699305085305
Russia,2009-12-01,3.0254093664277373
Russia,2010-01-01,3.26514507543822
Russia,2010-02-01,3.086475534218192
Russia,2010-03-01,3.3315047516508485
Russia,2010-04-01,3.67779573473876
Russia,2010-05-01,3.1389051557282066
Russia,2010-06-01,3.1209353586121615
Russia,2010-07-01,3.28119542154699
Russia,2010-08-01,3.3974924803200146
Russia,2010-09-01,3.423437212437785
Russia,2010-10-01,3.749104419764752
Russia,2010-11-01,3.7489661546971784
Russia,2010-12-01,3.9895792466965663
Russia,2011-01-01,4.391445770063742
Russia,2011-02-01,4.530844667874273
Russia,2011-03-01,4.868729802022672
Russia,2011-04-01,5.10868753024018
Russia,2011-05-01,4.776425135064448
Russia,2011-06-01,4.8225459063416665
Russia,2011-07-01,4.9661225459740255
Russia,2011-08-01,4.336908962800056
Russia,2011-09-01,3.8397653042336017
Russia,2011-10-01,3.693417012107483
Russia,2011-11-01,3.8642103339208282
Russia,2011-12-01,3.73055312480697
Russia,2012-01-01,4.002916793561779
Russia,2012-02-01,4.470154542488199
Russia,2012-03-01,4.575429031235247
Russia,2012-04-01,4.5260322951753995
Russia,2012-05-01,3.915185356784205
Russia,2012-06-01,3.6264004557283296
Russia,2012-07-01,3.8392366658718378
Russia,2012-08-01,3.976665855617732
Russia,2012-09-01,4.16456786257991
Russia,2012-10-01,4.227803746260193
Russia,2012-11-01,4.076154966297771
Russia,2012-12-01,4.328498576631432
Russia,2013-01-01,4.586845397136564
Russia,2013-02-01,4.572979505822527
Russia,2013-03-01,4.344641979106763
Russia,2013-04-01,4.138613223903352
Russia,2013-05-01,4.14450301215855
Russia,2013-06-01,3.823263419410301
Russia,2013-07-01,3.980020903004341
Russia,2013-08-01,3.9488320765310263
Russia,2013-09-01,4.1162517143243775
Russia,2013-10-01,4.391185379143716
Russia,2013-11-01,4.2843242574310825
Russia,2013-12-01,4.223367723861024
Russia,2014-01-01,4.121843170172006
Russia,2014-02-01,3.940884210052769
Russia,2014-03-01,3.644715131842425
Russia,2014-04-01,3.8622249235028434
Russia,2014-05-01,4.053714875147204
Russia,2014-06-01,4.241543273147551
Russia,2014-07-01,4.256650679337465
Russia,2014-08-01,4.022305985463554
Russia,2014-09-01,3.873898241706257
Russia,2014-10-01,3.622417217199399
Russia,2014-11-01,3.3818103658682523
Russia,2014-12-01,2.9511452683690838
Russia,2015-01-01,2.841065257136851
Russia,2015-02-01,2.874316633389771
Russia,2015-03-01,2.92550983444586
Russia,2015-04-01,3.2922040566921407
Russia,2015-05-01,3.3863033562131637
Russia,2015-06-01,3.2091894537800822
Russia,2015-07-01,3.1581253211027533
Russia,2015-08-01,2.9552983178022494
Russia,2015-09-01,2.9507369651402104
Russia,2015-10-01,3.0276138478530115
Russia,2015-11-01,2.9752150874805414
Russia,2015-12-01,2.878353225391397
Russia,2016-01-01,2.807274133012392
Russia,2016-02-01,2.821249041419425
Russia,2016-03-01,2.9439469463511303
Russia,2016-04-01,3.1239450545360863
Russia,2016-05-01,3.1604940754947037
Russia,2016-06-01,3.1957601407636544
Russia,2016-07-01,3.3013172439899883
Russia,2016-08-01,3.3080760327335668
Russia,2016-09-01,3.341040444021955
Russia,2016-10-01,3.457596720006645
Russia,2016-11-01,3.4411079466334766
Russia,2016-12-01,3.6261108624140763
Russia,2017-01-01,3.775192113427977
Russia,2017-02-01,3.7844565554882976
Russia,2017-03-01,3.76898417248033
Russia,2017-04-01,3.866175595182023
Russia,2017-05-01,3.8415505894986985
Russia,2017-06-01,3.7392812055320306
Russia,2017-07-01,3.821769724549205
Russia,2017-08-01,3.864411172261832
Russia,2017-09-01,3.9734205005845276
Russia,2017-10-01,4.13081237277696
Russia,2017-11-01,4.123427448476873
Russia,2017-12-01,4.129192483992021
Russia,2018-01-01,4.408638888532035
Russia,2018-02-01,4.427800109418039
Russia,2018-03-01,4.414771536253635
Russia,2018-04-01,4.386107754297699
Russia,2018-05-01,4.384328300565626
Russia,2018-06-01,4.333740990920051
Russia,2018-07-01,4.465546899896465
Russia,2018-08-01,4.329080115671752
Russia,2018-09-01,4.36468865168445
Russia,2018-10-01,4.474640821260596
Russia,2018-11-01,4.44087798927711
Russia,2018-12-01,4.417214923529455
Russia,2019-01-01,4.558513980936848
Russia,2019-02-01,4.6053647317781845
Russia,2019-03-01,4.6325809555773585
Russia,2019-04-01,4.789084897763651
Russia,2019-05-01,4.798382958075578
Russia,2019-06-01,4.90968942438548
Russia,2019-07-01,5.025258802864178
Russia,2019-08-01,4.889897661763097
Russia,2019-09-01,4.9574096925541955
Russia,2019-10-01,5.062923794794012
Russia,2019-11-01,5.164035027856826
Russia,2019-12-01,5.226823724091167
Russia,2020-01-01,5.254001989775288
Russia,2020-02-01,5.150681305791947
Russia,2020-03-01,4.571743421785129
Russia,2020-04-01,4.418129083027338
Russia,2020-05-01,4.4360703617593575
Russia,2020-06-01,4.5411621829959525
Russia,2020-07-01,4.500057026099185
SouthAfrica,2008-01-01,1.1691489623411575
SouthAfrica,2008-02-01,1.0713533558830477
SouthAfrica,2008-03-01,1.0414828344872034
SouthAfrica,2008-04-01,1.334100632779801
SouthAfrica,2008-05-01,1.5275141693898335
SouthAfrica,2008-06-01,1.2646923759787432
SouthAfrica,2008-07-01,0.8117121269012992
SouthAfrica,2008-08-01,0.7785348815210424
SouthAfrica,2008-09-01,0.474723838730438
SouthAfrica,2008-10-01,-0.33297321553044057
SouthAfrica,2008-11-01,-0.46998433484531965
SouthAfrica,2008-12-01,-0.3434926149288309
SouthAfrica,2009-01-01,-0.3685757078567571
SouthAfrica,2009-02-01,-0.47414954575599655
SouthAfrica,2009-03-01,-0.5156896139094762
SouthAfrica,2009-04-01,-0.3239015415123543
SouthAfrica,2009-05-01,-0.08733744663614029
SouthAfrica,2009-06-01,0.08350331460703764
SouthAfrica,2009-07-01,-0.16292724129186809
SouthAfrica,2009-08-01,0.09047591490194407
SouthAfrica,2009-09-01,0.2561837851180213
SouthAfrica,2009-10-01,0.3534091208284691
SouthAfrica,2009-11-01,0.43265785967272663
SouthAfrica,2009-12-01,0.5074204124916148
SouthAfrica,2010-01-01,0.6498503786666143
SouthAfrica,2010-02-01,0.4570094165653398
SouthAfrica,2010-03-01,0.7177910693444618
SouthAfrica,2010-04-01,0.9171761714650106
SouthAfrica,2010-05-01,0.5880571584389731
SouthAfrica,2010-06-01,0.5903151336956647
SouthAfrica,2010-07-01,0.6189518538648482
SouthAfrica,2010-08-01,0.7762020599802613
SouthAfrica,2010-09-01,0.9431179188921543
SouthAfrica,2010-10-01,1.3484227233583699
SouthAfrica,2010-11-01,1.4699516625006206
SouthAfrica,2010-12-01,1.615023244099724
SouthAfrica,2011-01-01,1.6415994667712306
SouthAfrica,2011-02-01,1.5510066312455617
SouthAfrica,2011-03-01,1.5726472043948723
SouthAfrica,2011-04-01,1.7819217775622496
SouthAfrica,2011-05-01,1.628067450748773
SouthAfrica,2011-06-01,1.5999569388325972
SouthAfrica,2011-07-01,1.7737460324849996
SouthAfrica,2011-08-01,1.3961126931305008
SouthAfrica,2011-09-01,1.2403806354101905
SouthAfrica,2011-10-01,1.2717825116351325
SouthAfrica,2011-11-01,1.2861498422688271
SouthAfrica,2011-12-01,1.2959008942537809
SouthAfrica,2012-01-01,1.5339643007002477
SouthAfrica,2012-02-01,1.7732759630603623
SouthAfrica,2012-03-01,1.7704115315522022
SouthAfrica,2012-04-01,1.777478032520074
SouthAfrica,2012-05-01,1.5966267852675875
SouthAfrica,2012-06-01,1.542625767680825
SouthAfrica,2012-07-01,1.5705626252042846
SouthAfrica,2012-08-01,1.6994326069118684
SouthAfrica,2012-09-01,1.7296418102980562
SouthAfrica,2012-10-01,1.6617846290280107
SouthAfrica,2012-11-01,1.682789777332127
SouthAfrica,2012-12-01,1.8768668594072393
SouthAfrica,2013-01-01,2.094553694039309
