,country,EDI,index
54,Canada,5.2291381347803,2020-03-26
55,Canada,5.203389773000781,2020-03-27
56,Canada,5.177641411221263,2020-03-28
57,Canada,5.151893049441744,2020-03-29
58,Canada,5.126144687662226,2020-03-30
59,Canada,5.1003963258827065,2020-03-31
60,Canada,5.074647964103188,2020-04-01
61,Canada,5.0766201875656884,2020-04-02
62,Canada,5.078592411028189,2020-04-03
63,Canada,5.080564634490689,2020-04-04
64,Canada,5.0825368579531895,2020-04-05
65,Canada,5.084509081415689,2020-04-06
66,Canada,5.086481304878189,2020-04-07
67,Canada,5.08845352834069,2020-04-08
68,Canada,5.09042575180319,2020-04-09
69,Canada,5.0923979752656905,2020-04-10
70,Canada,5.094370198728191,2020-04-11
71,Canada,5.096342422190691,2020-04-12
72,Canada,5.098314645653192,2020-04-13
73,Canada,5.100286869115692,2020-04-14
74,Canada,5.102259092578192,2020-04-15
75,Canada,5.104231316040693,2020-04-16
76,Canada,5.106203539503192,2020-04-17
77,Canada,5.1081757629656925,2020-04-18
78,Canada,5.110147986428193,2020-04-19
79,Canada,5.112120209890693,2020-04-20
80,Canada,5.114092433353194,2020-04-21
81,Canada,5.116064656815694,2020-04-22
82,Canada,5.118036880278194,2020-04-23
83,Canada,5.120009103740695,2020-04-24
84,Canada,5.121981327203195,2020-04-25
85,Canada,5.123953550665695,2020-04-26
86,Canada,5.125925774128195,2020-04-27
87,Canada,5.127897997590695,2020-04-28
88,Canada,5.129870221053196,2020-04-29
89,Canada,5.131842444515696,2020-04-30
90,Canada,5.133814667978196,2020-05-01
91,Canada,5.147491856736319,2020-05-02
92,Canada,5.16116904549444,2020-05-03
93,Canada,5.174846234252563,2020-05-04
94,Canada,5.188523423010684,2020-05-05
95,Canada,5.202200611768807,2020-05-06
96,Canada,5.215877800526928,2020-05-07
97,Canada,5.229554989285051,2020-05-08
98,Canada,5.243232178043172,2020-05-09
99,Canada,5.2569093668012945,2020-05-10
100,Canada,5.270586555559416,2020-05-11
101,Canada,5.284263744317538,2020-05-12
102,Canada,5.29794093307566,2020-05-13
103,Canada,5.311618121833782,2020-05-14
104,Canada,5.325295310591904,2020-05-15
105,Canada,5.338972499350026,2020-05-16
106,Canada,5.352649688108148,2020-05-17
107,Canada,5.36632687686627,2020-05-18
108,Canada,5.380004065624392,2020-05-19
109,Canada,5.393681254382514,2020-05-20
110,Canada,5.407358443140636,2020-05-21
111,Canada,5.421035631898758,2020-05-22
112,Canada,5.4347128206568796,2020-05-23
113,Canada,5.448390009415002,2020-05-24
114,Canada,5.4620671981731235,2020-05-25
115,Canada,5.475744386931246,2020-05-26
116,Canada,5.489421575689367,2020-05-27
117,Canada,5.50309876444749,2020-05-28
118,Canada,5.516775953205611,2020-05-29
119,Canada,5.530453141963734,2020-05-30
120,Canada,5.544130330721856,2020-05-31
121,Canada,5.557807519479978,2020-06-01
122,Canada,5.560490152762206,2020-06-02
123,Canada,5.563172786044435,2020-06-03
124,Canada,5.565855419326663,2020-06-04
125,Canada,5.568538052608892,2020-06-05
126,Canada,5.57122068589112,2020-06-06
127,Canada,5.573903319173349,2020-06-07
128,Canada,5.576585952455577,2020-06-08
129,Canada,5.579268585737805,2020-06-09
130,Canada,5.581951219020033,2020-06-10
131,Canada,5.584633852302262,2020-06-11
132,Canada,5.58731648558449,2020-06-12
133,Canada,5.589999118866719,2020-06-13
134,Canada,5.592681752148947,2020-06-14
135,Canada,5.595364385431176,2020-06-15
136,Canada,5.598047018713404,2020-06-16
137,Canada,5.600729651995633,2020-06-17
138,Canada,5.603412285277861,2020-06-18
139,Canada,5.60609491856009,2020-06-19
140,Canada,5.608777551842318,2020-06-20
141,Canada,5.611460185124547,2020-06-21
142,Canada,5.614142818406775,2020-06-22
143,Canada,5.616825451689004,2020-06-23
144,Canada,5.6195080849712316,2020-06-24
145,Canada,5.62219071825346,2020-06-25
146,Canada,5.624873351535689,2020-06-26
147,Canada,5.627555984817917,2020-06-27
148,Canada,5.630238618100146,2020-06-28
149,Canada,5.632921251382374,2020-06-29
150,Canada,5.635603884664603,2020-06-30
151,Canada,5.638286517946831,2020-07-01
0,Japan,9.441334324372127,2020-02-01
1,Japan,9.410704150670984,2020-02-02
2,Japan,9.380073976969841,2020-02-03
3,Japan,9.349443803268699,2020-02-04
4,Japan,9.318813629567554,2020-02-05
5,Japan,9.288183455866411,2020-02-06
6,Japan,9.257553282165269,2020-02-07
7,Japan,9.226923108464126,2020-02-08
8,Japan,9.196292934762983,2020-02-09
9,Japan,9.16566276106184,2020-02-10
10,Japan,9.135032587360698,2020-02-11
11,Japan,9.104402413659553,2020-02-12
12,Japan,9.07377223995841,2020-02-13
13,Japan,9.043142066257268,2020-02-14
14,Japan,9.012511892556125,2020-02-15
15,Japan,8.981881718854982,2020-02-16
16,Japan,8.95125154515384,2020-02-17
17,Japan,8.920621371452697,2020-02-18
18,Japan,8.889991197751552,2020-02-19
19,Japan,8.85936102405041,2020-02-20
20,Japan,8.828730850349267,2020-02-21
21,Japan,8.798100676648124,2020-02-22
22,Japan,8.767470502946981,2020-02-23
23,Japan,8.736840329245839,2020-02-24
24,Japan,8.706210155544696,2020-02-25
25,Japan,8.675579981843553,2020-02-26
26,Japan,8.644949808142409,2020-02-27
27,Japan,8.614319634441266,2020-02-28
28,Japan,8.583689460740123,2020-02-29
29,Japan,8.55305928703898,2020-03-01
30,Japan,8.553865383196657,2020-03-02
31,Japan,8.554671479354333,2020-03-03
32,Japan,8.555477575512008,2020-03-04
33,Japan,8.556283671669684,2020-03-05
34,Japan,8.55708976782736,2020-03-06
35,Japan,8.557895863985037,2020-03-07
36,Japan,8.558701960142713,2020-03-08
37,Japan,8.559508056300388,2020-03-09
38,Japan,8.560314152458064,2020-03-10
39,Japan,8.56112024861574,2020-03-11
40,Japan,8.561926344773417,2020-03-12
41,Japan,8.562732440931093,2020-03-13
42,Japan,8.563538537088768,2020-03-14
43,Japan,8.564344633246444,2020-03-15
44,Japan,8.56515072940412,2020-03-16
45,Japan,8.565956825561797,2020-03-17
46,Japan,8.566762921719473,2020-03-18
47,Japan,8.56756901787715,2020-03-19
48,Japan,8.568375114034824,2020-03-20
49,Japan,8.5691812101925,2020-03-21
50,Japan,8.569987306350177,2020-03-22
51,Japan,8.570793402507853,2020-03-23
52,Japan,8.57159949866553,2020-03-24
53,Japan,8.572405594823204,2020-03-25
54,Japan,8.57321169098088,2020-03-26
55,Japan,8.574017787138557,2020-03-27
56,Japan,8.574823883296233,2020-03-28
57,Japan,8.57562997945391,2020-03-29
58,Japan,8.576436075611584,2020-03-30
59,Japan,8.57724217176926,2020-03-31
60,Japan,8.578048267926937,2020-04-01
61,Japan,8.588201240209141,2020-04-02
62,Japan,8.598354212491346,2020-04-03
63,Japan,8.608507184773552,2020-04-04
64,Japan,8.618660157055757,2020-04-05
65,Japan,8.628813129337962,2020-04-06
66,Japan,8.638966101620166,2020-04-07
67,Japan,8.649119073902371,2020-04-08
68,Japan,8.659272046184578,2020-04-09
69,Japan,8.669425018466782,2020-04-10
70,Japan,8.679577990748987,2020-04-11
71,Japan,8.689730963031192,2020-04-12
72,Japan,8.699883935313396,2020-04-13
73,Japan,8.710036907595603,2020-04-14
74,Japan,8.720189879877807,2020-04-15
75,Japan,8.730342852160012,2020-04-16
76,Japan,8.740495824442217,2020-04-17
77,Japan,8.750648796724422,2020-04-18
78,Japan,8.760801769006628,2020-04-19
79,Japan,8.770954741288833,2020-04-20
80,Japan,8.781107713571037,2020-04-21
81,Japan,8.791260685853242,2020-04-22
82,Japan,8.801413658135447,2020-04-23
83,Japan,8.811566630417653,2020-04-24
84,Japan,8.821719602699858,2020-04-25
85,Japan,8.831872574982063,2020-04-26
86,Japan,8.842025547264267,2020-04-27
87,Japan,8.852178519546472,2020-04-28
88,Japan,8.862331491828678,2020-04-29
89,Japan,8.872484464110883,2020-04-30
90,Japan,8.882637436393088,2020-05-01
91,Japan,8.896948671092803,2020-05-02
92,Japan,8.911259905792518,2020-05-03
93,Japan,8.925571140492233,2020-05-04
94,Japan,8.939882375191948,2020-05-05
95,Japan,8.954193609891663,2020-05-06
96,Japan,8.96850484459138,2020-05-07
97,Japan,8.982816079291094,2020-05-08
98,Japan,8.99712731399081,2020-05-09
99,Japan,9.011438548690524,2020-05-10
100,Japan,9.02574978339024,2020-05-11
101,Japan,9.040061018089954,2020-05-12
102,Japan,9.054372252789669,2020-05-13
103,Japan,9.068683487489384,2020-05-14
104,Japan,9.082994722189099,2020-05-15
105,Japan,9.097305956888814,2020-05-16
106,Japan,9.11161719158853,2020-05-17
107,Japan,9.125928426288246,2020-05-18
108,Japan,9.14023966098796,2020-05-19
109,Japan,9.154550895687676,2020-05-20
110,Japan,9.16886213038739,2020-05-21
111,Japan,9.183173365087105,2020-05-22
112,Japan,9.19748459978682,2020-05-23
113,Japan,9.211795834486535,2020-05-24
114,Japan,9.22610706918625,2020-05-25
