response,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Country,Population,population_density,Birthrate,Deathrate,Agriculture,Industry,Service,total_cases,total_cases_per_million,new_cases_per_million,new_deaths_per_million,stringency_index,population,population_density,hospital_beds_per_thousand
1.1005682846129416,-51,-7,-43,-49,-31,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,291579,1371.753,93.861,4.178,81.02,212559409,25.04,2.2
1.0892815286651496,-52,-6,-49,-47,-28,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,310087,1458.825,87.072,5.5889999999999995,81.02,212559409,25.04,2.2
1.0782999600124843,-56,-7,-60,-47,-20,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,330890,1556.694,97.869,4.709,81.02,212559409,25.04,2.2
1.0671976423399383,-66,-18,-67,-54,-17,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,347398,1634.3570000000002,77.663,4.54,81.02,212559409,25.04,2.2
1.0563227428059978,-53,-12,-50,-52,-34,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,363211,1708.751,74.393,3.072,81.02,212559409,25.04,2.2
1.045711003326001,-50,-9,-49,-47,-28,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,374898,1763.733,54.982,3.7969999999999997,81.02,212559409,25.04,2.2
1.0353452152157745,-48,-8,-43,-46,-27,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,391222,1840.53,76.797,4.888,81.02,212559409,25.04,2.2
1.0252938873815354,-48,-4,-42,-45,-27,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,411821,1937.44,96.90899999999999,5.109,81.02,212559409,25.04,2.2
1.0159226549980156,-47,3,-43,-42,-24,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,438238,2061.72,124.281,5.438,81.02,212559409,25.04,2.2
1.0070694254682755,-50,2,-51,-40,-12,12,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,465166,2188.405,126.685,5.287999999999999,81.02,212559409,25.04,2.2
0.9982878660877614,-60,-9,-58,-47,-8,12,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,498440,2344.944,156.54,4.498,81.02,212559409,25.04,2.2
0.9899014152878504,-45,-3,-47,-43,-21,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,514849,2422.1420000000003,77.197,2.258,77.31,212559409,25.04,2.2
0.9891016797716609,-46,-4,-48,-45,-25,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,526447,2476.705,54.56399999999999,2.931,77.31,212559409,25.04,2.2
0.9886552823473438,-44,-3,-41,-43,-24,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,555383,2612.837,136.131,5.937,77.31,212559409,25.04,2.2
0.9885964128651744,-45,0,-41,-42,-24,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,584016,2747.542,134.70600000000002,6.346,77.31,212559409,25.04,2.2
0.9892545361206012,-42,9,-44,-38,-21,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,614932,2892.989,145.446,6.93,77.31,212559409,25.04,2.2
0.990430275302201,-45,8,-52,-36,-11,12,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,645762,3038.031,145.042,4.728,77.31,212559409,25.04,2.2
0.9916396506263724,-56,-5,-58,-45,-6,12,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,672837,3165.407,127.376,4.253,77.31,212559409,25.04,2.2
0.9931688380555688,-39,1,-42,-39,-19,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,691758,3254.422,89.015,2.47,77.31,212559409,25.04,2.2
0.9949888862270893,-42,-2,-45,-41,-23,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,707412,3328.067,73.645,3.194,77.31,212559409,25.04,2.2
0.9970164793366968,-36,5,-36,-38,-22,13,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,739503,3479.0409999999997,150.974,5.984,77.31,212559409,25.04,2.2
0.9992539069450171,-54,-13,-37,-51,-51,20,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,772416,3633.883,154.841,5.994,77.31,212559409,25.04,2.2
1.0020017588141321,-33,14,-33,-37,-27,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,802828,3776.958,143.075,5.829,77.31,212559409,25.04,2.2
1.005035313791388,-46,-2,-46,-38,-11,12,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,828810,3899.192,122.234,4.276,77.31,212559409,25.04,2.2
1.0078492010735038,-57,-12,-59,-47,-5,12,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,850514,4001.3,102.10799999999999,4.196000000000001,77.31,212559409,25.04,2.2
